SourceLat,SourceLon,TargetLat,TargetLon,Weight
35.715,139.36499999999998,35.715,139.70499999999998,1
35.415,139.49499999999998,35.43499999999999,139.67499999999998,1
35.325,139.415,35.375,139.45499999999998,4
35.665,139.70499999999998,35.68499999999999,139.61499999999998,1
35.315,139.505,35.325,139.49499999999998,1
35.665,139.355,35.595,139.39499999999998,1
35.375,139.59499999999997,35.515,139.565,2
35.635,139.795,35.79499999999999,139.93499999999997,1
35.645,139.485,35.65499999999999,139.58499999999998,1
35.745,139.755,35.68499999999999,139.77499999999998,5
35.485,139.665,35.495,139.695,2
35.68499999999999,140.035,35.68499999999999,140.075,1
35.645,139.86499999999998,35.695,139.99499999999998,1
35.675,139.725,35.775,139.785,1
35.735,139.84499999999997,35.65499999999999,139.77499999999998,1
35.555,139.58499999999998,35.565,139.575,233
35.785,139.67499999999998,35.715,139.70499999999998,1
35.72499999999999,139.87499999999997,35.705,139.84499999999997,2
35.695,139.70499999999998,35.825,139.80499999999998,9
35.745,139.665,35.745,139.695,20
35.525,139.635,35.50499999999999,139.64499999999998,1
35.555,139.415,35.445,139.37499999999997,1
35.605,139.62499999999997,35.625,139.725,2
35.745,139.825,35.745,139.815,1
35.765,139.37499999999997,35.775,139.34499999999997,1
35.65499999999999,140.045,35.645,140.065,2
35.965,139.415,35.945,139.325,7
35.785,139.485,35.835,139.505,2
35.455,139.58499999999998,35.695,139.765,1
35.635,139.575,35.555,139.64499999999998,1
35.485,139.40499999999997,35.645,139.515,1
35.605,139.665,35.68499999999999,139.71499999999997,2
35.65499999999999,139.445,35.635,139.885,1
35.75499999999999,139.37499999999997,35.775,139.49499999999998,1
35.645,139.695,35.945,139.40499999999997,1
35.805,139.67499999999998,35.65499999999999,139.33499999999998,1
35.645,139.70499999999998,35.705,139.505,5
35.97499999999999,139.765,35.825,139.755,1
35.625,139.735,35.68499999999999,139.605,1
35.65499999999999,139.34499999999997,35.665,139.315,5
35.345,139.605,35.395,139.58499999999998,1
35.645,139.755,35.445,139.635,1
35.415,139.605,35.385,139.575,1
35.68499999999999,139.565,35.68499999999999,139.545,1
35.485,139.62499999999997,35.47499999999999,139.485,3
35.705,139.87499999999997,35.68499999999999,139.80499999999998,2
35.805,139.505,35.645,139.515,1
35.595,139.61499999999998,35.565,139.65499999999997,7
35.635,139.71499999999997,35.735,139.43499999999997,1
35.745,139.325,35.745,139.42499999999998,2
35.585,139.62499999999997,35.575,139.635,10
35.65499999999999,139.755,35.805,139.71499999999997,20
35.565,139.725,35.575,139.755,1
35.445,139.58499999999998,35.445,139.62499999999997,2
35.68499999999999,139.58499999999998,35.68499999999999,139.67499999999998,2
35.90499999999999,139.77499999999998,35.665,139.815,1
35.705,139.545,35.68499999999999,139.86499999999998,1
35.495,139.475,35.495,139.445,3
35.535,139.695,35.72499999999999,139.535,1
35.535,139.68499999999997,35.575,139.62499999999997,2
35.65499999999999,139.34499999999997,35.635,139.735,2
35.715,139.70499999999998,35.415,139.34499999999997,1
35.68499999999999,139.735,35.65499999999999,139.385,3
35.65499999999999,139.695,35.65499999999999,139.67499999999998,11
35.68499999999999,139.68499999999997,35.43499999999999,139.36499999999998,1
35.585,139.725,35.515,139.45499999999998,1
35.605,140.12499999999997,35.455,140.12499999999997,1
35.445,139.40499999999997,35.36499999999999,139.385,3
35.825,139.77499999999998,35.825,139.785,8
35.86499999999999,140.075,35.805,139.99499999999998,1
35.815,139.565,35.815,139.55499999999998,52
35.715,139.40499999999997,35.745,139.475,1
35.815,140.14499999999998,35.705,140.18499999999997,1
35.485,139.65499999999997,35.555,139.485,1
35.65499999999999,139.42499999999998,35.61499999999999,139.385,4
35.325,139.61499999999998,35.54499999999999,139.575,1
35.645,140.11499999999998,35.635,139.67499999999998,1
35.895,139.635,35.665,139.77499999999998,1
